,family_history,know_resources,emp_mh_resources,mh_benefits,mh_with_coworkers,mh_with_supervisor,past_disorder,ph_or_mh_discuss,reveal_to_clients,mention_interview,share_with_f&f,num_employees,ever_diagnosed,identified,identifited_neg_consequences,medical_coverage,primarily_tech,primary_role_tech,self-employed,sought_treatment
239,I don't know,I know some,I don't know,I don't know,Maybe,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
240,I don't know,I know some,No,Yes,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
241,No,I know some,No,Yes,Maybe,Yes,Yes,Physical health,"No, because it would impact me negatively",No,,,,,,,,,,
242,Yes,I know some,No,I don't know,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
243,No,I know some,No,Yes,Maybe,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
244,No,I know some,Yes,Yes,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
245,No,"Yes, I know several",No,Yes,Maybe,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
246,I don't know,"Yes, I know several",No,Yes,Maybe,Yes,Yes,Physical health,"No, because it would impact me negatively",Maybe,,,,,,,,,,
247,I don't know,I know some,I don't know,I don't know,No,Maybe,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
248,Yes,I know some,Yes,Yes,No,No,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
249,Yes,I know some,I don't know,Yes,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
250,Yes,I know some,Yes,Yes,Maybe,Yes,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
251,I don't know,"Yes, I know several",No,Yes,Maybe,Yes,Yes,Physical health,"No, because it doesn't matter",No,,,,,,,,,,
252,Yes,I know some,I don't know,Yes,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
253,I don't know,I know some,I don't know,I don't know,Maybe,Yes,Yes,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
254,No,I know some,Yes,I don't know,Maybe,Yes,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
255,Yes,I know some,Yes,I don't know,Yes,Yes,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
256,I don't know,"Yes, I know several",No,Yes,Maybe,Yes,Yes,Physical health,"Sometimes, if it comes up",No,,,,,,,,,,
257,Yes,I know some,Yes,Yes,Yes,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
258,Yes,I know some,No,Yes,Maybe,Yes,Yes,Physical health,"No, because it would impact me negatively",No,,,,,,,,,,
259,No,I know some,No,I don't know,Maybe,Maybe,Yes,Same level of comfort for each,Not applicable to me,Yes,,,,,,,,,,
260,No,I know some,No,No,Yes,Yes,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
261,I don't know,I know some,No,Yes,Maybe,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
262,Yes,I know some,No,No,Maybe,Yes,Yes,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
263,Yes,I know some,Yes,Yes,Maybe,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
264,Yes,I know some,I don't know,I don't know,Maybe,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
265,Yes,I know some,Yes,Yes,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,Yes,,,,,,,,,,
266,No,I know some,No,I don't know,Maybe,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
267,Yes,I know some,No,No,Maybe,No,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
268,No,I know some,No,I don't know,Yes,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
269,Yes,I know some,I don't know,Yes,No,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
270,Yes,I know some,I don't know,Yes,Maybe,Maybe,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
271,Yes,I know some,Yes,Yes,Yes,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
272,Yes,I know some,No,Yes,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
273,No,I know some,I don't know,I don't know,Maybe,Maybe,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
274,Yes,I know some,I don't know,I don't know,Maybe,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
275,Yes,I know some,I don't know,Yes,Maybe,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
276,No,I know some,Yes,Yes,Maybe,Yes,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
277,I don't know,I know some,I don't know,Yes,Maybe,Maybe,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
278,Yes,I know some,No,I don't know,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
279,No,I know some,No,No,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
280,No,"Yes, I know several",No,Yes,Maybe,Yes,Yes,Physical health,"No, because it doesn't matter",Maybe,,,,,,,,,,
281,I don't know,"No, I don't know any",No,Yes,Maybe,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
282,I don't know,I know some,No,I don't know,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
283,I don't know,"Yes, I know several",No,Yes,Maybe,Yes,Yes,Physical health,"Sometimes, if it comes up",Maybe,,,,,,,,,,
284,I don't know,I know some,No,I don't know,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
285,No,I know some,No,Not eligible for coverage / NA,Maybe,Yes,Yes,Physical health,Not applicable to me,Yes,,,,,,,,,,
286,Yes,I know some,I don't know,I don't know,Maybe,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
287,No,I know some,No,I don't know,Maybe,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
288,Yes,"No, I don't know any",No,Yes,Maybe,Yes,Yes,Physical health,"No, because it would impact me negatively",No,,,,,,,,,,
289,Yes,I know some,No,Yes,Maybe,Yes,Yes,Physical health,"No, because it would impact me negatively",No,,,,,,,,,,
290,Yes,I know some,No,I don't know,Maybe,Yes,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
291,I don't know,I know some,I don't know,Yes,Yes,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
292,No,I know some,No,No,No,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
293,I don't know,I know some,Yes,Yes,Maybe,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
294,No,I know some,Yes,Yes,Maybe,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
295,I don't know,I know some,I don't know,Yes,Maybe,Yes,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
296,Yes,I know some,Yes,Yes,Maybe,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
297,Yes,I know some,Yes,Yes,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
298,Yes,I know some,I don't know,Yes,Maybe,Maybe,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
299,Yes,I know some,I don't know,Yes,Maybe,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
300,No,I know some,No,No,No,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
301,No,I know some,I don't know,I don't know,No,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
302,No,I know some,Yes,Yes,Maybe,Maybe,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
303,I don't know,I know some,Yes,Yes,No,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
304,Yes,I know some,I don't know,Yes,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
305,I don't know,I know some,No,I don't know,No,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
306,I don't know,I know some,I don't know,Yes,Maybe,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
307,No,I know some,I don't know,I don't know,Yes,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
308,No,I know some,No,Yes,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
309,Yes,I know some,Yes,Yes,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
310,Yes,I know some,Yes,Yes,Yes,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
311,Yes,I know some,Yes,Yes,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
312,Yes,I know some,No,I don't know,Yes,Maybe,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
313,Yes,I know some,I don't know,Yes,Maybe,Yes,Yes,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
314,No,I know some,Yes,Yes,Maybe,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
315,Yes,I know some,No,Yes,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
316,No,I know some,Yes,Yes,No,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
317,Yes,I know some,I don't know,I don't know,Maybe,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
318,Yes,I know some,Yes,Yes,Maybe,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
319,Yes,I know some,Yes,Yes,Maybe,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
320,Yes,I know some,Yes,Yes,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,Yes,,,,,,,,,,
321,Yes,I know some,No,I don't know,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
322,No,I know some,Yes,Yes,Maybe,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
323,No,I know some,No,I don't know,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
324,Yes,I know some,I don't know,Yes,Maybe,Maybe,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
325,No,I know some,Yes,Yes,Maybe,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
326,I don't know,"Yes, I know several",No,Yes,Maybe,Yes,Yes,Physical health,"Sometimes, if it comes up",Maybe,,,,,,,,,,
327,I don't know,I know some,No,Yes,Maybe,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
328,Yes,"Yes, I know several",No,Yes,Maybe,Yes,Yes,Physical health,"No, because it would impact me negatively",No,,,,,,,,,,
329,No,I know some,I don't know,Yes,Yes,Yes,Yes,Physical health,Not applicable to me,Yes,,,,,,,,,,
330,I don't know,I know some,No,No,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
331,No,I know some,No,No,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,Yes,,,,,,,,,,
332,No,I know some,No,I don't know,No,Maybe,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
333,No,I know some,I don't know,Yes,Yes,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
334,I don't know,I know some,No,Yes,Maybe,Yes,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
335,I don't know,I know some,No,No,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
336,No,I know some,No,No,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
337,I don't know,I know some,No,Yes,Maybe,Yes,Yes,Physical health,"Sometimes, if it comes up",Maybe,,,,,,,,,,
338,Yes,I know some,Yes,Yes,Yes,Yes,Yes,Mental health,Not applicable to me,Maybe,,,,,,,,,,
339,I don't know,I know some,No,I don't know,Yes,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
340,No,"Yes, I know several",No,Yes,Maybe,Yes,Yes,Physical health,"Sometimes, if it comes up",Maybe,,,,,,,,,,
341,Yes,"Yes, I know several",No,Yes,Maybe,Yes,Yes,Physical health,"Sometimes, if it comes up",Maybe,,,,,,,,,,
342,I don't know,"No, I don't know any",No,Yes,Maybe,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
343,I don't know,I know some,I don't know,Yes,Maybe,No,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
344,Yes,I know some,No,No,Maybe,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
345,I don't know,I know some,Yes,Yes,Maybe,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
346,I don't know,I know some,No,I don't know,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
347,Yes,I know some,No,Yes,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
348,Yes,I know some,Yes,Not eligible for coverage / NA,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
349,No,I know some,Yes,Yes,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
350,Yes,I know some,No,Not eligible for coverage / NA,Yes,Yes,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
351,Yes,I know some,Yes,Yes,Yes,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
352,No,I know some,No,No,Yes,Maybe,Yes,Mental health,Not applicable to me,No,,,,,,,,,,
353,Yes,I know some,No,No,Yes,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
354,No,I know some,No,I don't know,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
355,No,I know some,I don't know,Yes,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
356,No,I know some,No,No,Maybe,Yes,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
357,No,I know some,No,No,No,No,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
358,Yes,I know some,No,I don't know,Maybe,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
359,No,I know some,No,I don't know,Maybe,No,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
360,No,I know some,I don't know,I don't know,No,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
361,I don't know,I know some,No,I don't know,Maybe,Maybe,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
362,No,I know some,No,No,No,No,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
363,Yes,I know some,I don't know,Yes,Maybe,No,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
364,I don't know,I know some,Yes,Yes,Maybe,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
365,No,I know some,No,Yes,Maybe,Yes,Yes,Physical health,"Sometimes, if it comes up",Yes,,,,,,,,,,
366,Yes,"No, I don't know any",No,Yes,Maybe,Yes,Yes,Physical health,"Sometimes, if it comes up",No,,,,,,,,,,
367,No,I know some,No,Yes,Yes,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
368,Yes,I know some,No,Yes,Yes,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
369,I don't know,I know some,I don't know,Yes,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
370,No,I know some,No,Not eligible for coverage / NA,Maybe,Yes,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
371,I don't know,I know some,I don't know,Not eligible for coverage / NA,Yes,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
372,No,I know some,Yes,I don't know,Maybe,Yes,Yes,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
373,No,"Yes, I know several",No,Yes,Maybe,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
374,Yes,I know some,No,I don't know,Maybe,Maybe,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
375,Yes,"Yes, I know several",No,Yes,Maybe,Yes,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
376,I don't know,I know some,No,No,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
377,Yes,I know some,No,I don't know,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
378,No,I know some,No,Yes,No,No,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
379,No,I know some,Yes,Yes,No,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
380,No,I know some,No,Yes,Maybe,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
381,I don't know,I know some,No,No,Maybe,Yes,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
382,No,I know some,Yes,Yes,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
383,Yes,I know some,Yes,Yes,No,Maybe,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
384,No,I know some,No,Yes,No,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
385,Yes,I know some,Yes,Yes,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
386,No,I know some,I don't know,I don't know,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
387,No,I know some,Yes,Yes,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,Yes,,,,,,,,,,
388,No,I know some,No,No,No,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
389,No,"No, I don't know any",No,Yes,Maybe,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
390,I don't know,I know some,No,No,No,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
391,I don't know,I know some,No,I don't know,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
392,No,I know some,I don't know,Yes,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
393,I don't know,I know some,No,I don't know,No,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
394,No,I know some,I don't know,Yes,No,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
395,No,I know some,I don't know,Yes,Maybe,Maybe,Yes,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
396,Yes,I know some,No,Yes,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
397,No,I know some,No,No,Maybe,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
398,Yes,I know some,No,Yes,Maybe,Yes,Yes,Physical health,"Sometimes, if it comes up",Yes,,,,,,,,,,
399,No,I know some,I don't know,Yes,Yes,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
400,Yes,I know some,No,Yes,Yes,Yes,Yes,Mental health,Not applicable to me,No,,,,,,,,,,
401,No,I know some,Yes,Yes,Maybe,Maybe,Yes,Same level of comfort for each,Not applicable to me,Yes,,,,,,,,,,
402,Yes,I know some,No,Yes,Yes,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
403,Yes,I know some,No,No,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
404,No,I know some,No,Yes,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,Yes,,,,,,,,,,
405,Yes,I know some,No,Yes,Yes,Maybe,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
406,I don't know,I know some,No,Yes,Maybe,Maybe,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
407,No,I know some,I don't know,I don't know,Maybe,Maybe,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
408,I don't know,I know some,No,No,Maybe,Maybe,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
409,Yes,I know some,Yes,Yes,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
410,No,I know some,No,No,Maybe,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
411,Yes,I know some,Yes,No,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
412,No,I know some,I don't know,I don't know,Maybe,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
413,Yes,I know some,Yes,Yes,Maybe,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
414,I don't know,I know some,No,Yes,Maybe,Yes,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
415,No,I know some,Yes,Yes,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
416,Yes,I know some,No,I don't know,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
417,No,I know some,I don't know,I don't know,Maybe,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
418,No,I know some,No,Not eligible for coverage / NA,Maybe,Yes,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
419,I don't know,I know some,No,Yes,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
420,No,I know some,Yes,Yes,Yes,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
421,No,I know some,Yes,I don't know,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
422,I don't know,I know some,I don't know,I don't know,Maybe,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
423,Yes,I know some,I don't know,I don't know,Maybe,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
424,I don't know,I know some,I don't know,I don't know,Yes,Maybe,Yes,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
425,Yes,I know some,I don't know,Yes,No,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
426,No,"Yes, I know several",No,Yes,Maybe,Yes,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
427,No,"No, I don't know any",No,Yes,Maybe,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
428,I don't know,I know some,Yes,Yes,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
429,Yes,I know some,Yes,Yes,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
430,I don't know,I know some,Yes,Yes,Maybe,Yes,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
